Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930501,90.01093,8.478259,37.68592,-13.77959,24.65187,9.58029,-44.59748,-8.355333,-3.859815,5.546248,23.27706,-20.89673,25.57035,-8.98647,4.452971
19930502,84.5119,5.389,32.60271,-9.109155,19.71782,11.65378,-38.57077,-15.54053,-1.314601,2.450184,18.45489,-23.21771,18.0463,-9.315685,9.230618
19930503,79.64311,3.014891,36.08739,-5.192677,19.63541,16.34486,-36.01126,-10.58956,5.811502,1.44793,24.35666,-22.84234,19.03948,-5.908432,8.886992
19930504,77.448,1.691762,38.14391,-3.597625,17.36437,21.6559,-31.58728,-15.33902,4.480913,-2.45949,29.63008,-20.88281,19.11902,-3.687261,4.90013
19930505,80.36862,4.798341,38.46674,-12.85373,17.97299,24.68443,-35.99792,-18.55103,0.3727215,-8.807161,25.65071,-9.709138,17.79661,2.316669,6.175339
19930506,85.02679,5.535226,26.73507,-22.89953,21.92259,22.20241,-47.80677,-24.41693,6.522199,-11.28504,30.3526,2.86106,14.36587,-3.776731,10.468
19930507,86.93616,10.01876,16.96905,-33.47771,17.78628,18.2974,-55.0768,-27.80506,13.52473,-6.561999,21.33964,2.103545,14.77473,-8.331755,7.810998
19930508,82.44432,20.26175,15.88393,-36.49313,17.43727,17.31923,-50.95705,-30.75072,14.87397,-6.179388,18.25943,-3.971583,14.83081,-15.13462,3.809317
19930509,80.02448,25.79679,11.89778,-28.43801,17.01915,13.52907,-51.86164,-33.19985,7.806899,-8.545815,26.37386,-0.2745262,12.59974,-12.8272,3.862707
19930510,84.66231,25.47923,-1.544883,-24.63955,21.63389,15.79836,-57.56964,-28.58491,0.9770028,-8.214664,28.52121,3.329016,12.52917,-2.312931,0.4817236
19930511,96.57519,16.53334,-6.176752,-33.24602,19.39883,11.15778,-52.61099,-22.47024,-2.813093,3.003236,22.34444,9.873917,11.81238,6.220877,5.397713
19930512,96.17538,7.443986,4.2828,-36.86123,21.93036,3.283901,-46.15025,-23.30158,-10.49433,15.62051,16.07191,15.05013,12.13117,-0.9546307,1.6147
19930513,86.45156,6.813675,9.732373,-42.55838,16.16577,2.108431,-36.5222,-19.80328,-16.28699,13.94487,10.94854,13.53632,17.21688,0.1958756,-0.240674
19930514,80.91014,11.26908,11.68684,-44.79176,21.77827,-7.321843,-37.97437,-13.53387,-13.74764,9.541095,3.339275,5.842229,26.76969,-2.75658,-3.0579
19930515,86.28192,14.61956,12.09525,-42.96119,22.7839,-4.002963,-46.55097,-16.74817,-10.2757,4.485043,4.28949,0.7020987,25.53941,-7.162206,-1.491971
19930516,87.03416,8.982067,11.34976,-38.37014,25.76988,0.153706,-53.12015,-14.23418,-5.941788,2.51971,10.13697,-0.6131364,25.23698,-13.53151,-4.908944
19930517,83.25087,3.73315,13.82956,-41.73906,17.47439,0.7199149,-62.32844,-15.18163,-0.8023418,-1.269595,16.44829,4.734846,17.68949,-12.7608,-7.040485
19930518,85.92829,7.49958,10.85032,-38.70647,16.03833,0.9977513,-70.24799,-6.891331,1.565774,-2.576297,19.16229,7.550571,15.94514,-12.84152,-7.142773
19930519,81.00758,11.71752,13.31759,-44.10278,16.36948,7.703412,-69.5014,5.259732,1.702262,-9.206779,18.70262,15.74348,15.91393,-12.24742,-1.603129
19930520,79.60365,16.48577,8.193703,-55.36765,10.74126,7.992623,-70.84714,10.75794,8.247848,-12.93868,22.62599,10.47258,13.72586,-11.05828,5.375164
19930521,82.7929,20.73551,7.840098,-62.82759,8.640062,4.97161,-65.91245,9.520198,10.33103,-9.738819,26.1382,4.741206,9.78802,-13.91659,9.292574
19930522,80.67072,16.9454,14.42562,-57.23283,15.7858,7.545407,-64.94936,2.198885,12.04375,-4.218383,27.85203,5.1404,7.200847,-13.86578,12.07765
19930523,68.10919,7.484024,33.19603,-43.49523,22.06897,1.623238,-59.18737,4.495822,7.699303,-1.387565,27.06626,6.465247,5.34426,-10.55579,6.974343
19930524,65.46249,11.09255,45.34708,-33.37427,16.96196,0.2335869,-59.56704,1.363086,2.482028,-4.702371,28.14582,7.567549,5.64528,-10.451,5.296283
19930525,55.05498,7.65318,50.13511,-34.6332,8.703839,6.657618,-59.43921,-6.91235,0.9117706,-9.397394,28.60596,10.63413,-0.3445869,-13.91299,9.61809
19930526,53.30741,10.2818,47.154,-32.42105,7.461771,10.39576,-55.29457,-17.79177,0.8821607,-14.66024,25.7187,2.316931,1.956592,-19.26595,17.42733
19930527,57.41518,15.82133,45.20284,-24.45602,1.981251,8.731461,-45.6225,-31.5148,2.937632,-12.00289,24.06133,-3.48851,7.846708,-16.40573,17.57296
19930528,73.64101,13.7982,32.44134,-25.40849,-6.191464,-3.071095,-26.9458,-35.54258,2.352984,-10.22646,20.52275,-0.7290547,2.001719,-6.637569,12.45906
19930529,74.54932,20.2942,19.48085,-29.91819,-3.263925,-6.20165,-28.73233,-30.71002,7.817016,-21.31384,20.17879,3.426643,-2.855136,0.7247159,9.266994
19930530,75.01489,24.43449,11.9972,-38.55556,-8.951299,-6.94958,-28.97885,-27.07558,8.640932,-39.76517,22.76814,0.1956551,2.238058,0.7771162,5.648409
19930531,74.31296,25.5674,6.63049,-46.61065,-2.333235,-12.3946,-29.00708,-24.55846,-0.1673665,-37.22169,22.68945,-3.725058,-2.911078,-2.328367,1.16547
19930601,75.38948,36.45464,10.32365,-57.66285,2.909545,-14.06982,-21.48116,-22.6142,-7.528172,-27.17728,16.93946,0.4488271,4.628992,-5.281331,-1.581615
19930602,85.27989,56.4065,6.871765,-52.5075,13.37433,-18.20746,-27.50375,-22.10295,1.179199,-10.8128,8.986227,4.908242,6.851542,-1.688638,-3.806175
19930603,98.16583,58.92846,4.052947,-41.11356,12.39957,-18.8978,-27.32677,-16.60587,10.39274,-8.456893,6.318148,4.362895,9.670991,6.151186,-8.499416
19930604,100.2911,61.6352,7.913795,-29.35696,9.755966,-17.21692,-28.53235,-13.95087,13.09134,-6.167559,1.695206,5.208952,5.700255,9.208831,-9.058332
19930605,102.8517,65.144,12.42951,-22.66129,6.0318,-11.29229,-23.53986,-12.12053,9.069816,-9.432823,1.002931,0.3792688,4.207954,3.745083,-6.568044
19930606,98.69955,69.30702,12.0269,-16.09526,5.27526,-12.37435,-21.09344,-15.19803,1.300649,-17.36823,-5.056,4.818636,6.129848,7.380933,-5.057337
19930607,102.0437,70.35074,7.37083,-12.90375,6.434693,-14.12482,-19.13666,-23.14694,0.5362957,-21.85502,5.141975,8.637239,5.312439,8.476638,-5.858051
19930608,108.255,59.18164,11.34577,-12.23696,8.158309,-13.01938,-15.63721,-20.31742,2.805382,-22.8758,7.808004,5.62068,9.197186,7.270423,-2.593288
