Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930405,-15.58902,0.07918007,1.950153,1.873965,-0.7713968,0.2112367,3.944524,-3.710337,-3.076734,3.01833,-4.125345,-1.84637,0.907465,0.07841176,-2.75964
19930406,-15.51773,0.04989405,2.035598,1.903621,-0.4721487,0.2750168,3.930504,-3.464972,-3.401142,3.070958,-4.293461,-2.040368,0.8586858,-0.2708527,-2.745303
19930407,-15.43185,0.02049971,2.106284,1.931218,-0.1701562,0.3077852,3.913067,-3.220257,-3.690111,3.120455,-4.509498,-2.216549,0.7926977,-0.6212806,-2.741306
19930408,-15.33818,-0.00877701,2.163383,1.930552,0.1874959,0.3155435,3.912035,-2.959791,-3.96092,3.18987,-4.712916,-2.36045,0.7227609,-0.9793695,-2.744816
19930409,-15.20684,-0.04120982,2.222511,1.9364,0.5369928,0.3148332,3.892428,-2.725971,-4.163867,3.24176,-4.941776,-2.467455,0.6715931,-1.34477,-2.761882
19930410,-15.07339,-0.06429088,2.266804,1.933528,0.8515257,0.2683928,3.870184,-2.508585,-4.30942,3.264881,-5.189387,-2.571675,0.6306443,-1.645987,-2.803764
19930411,-14.94844,-0.05096645,2.315511,1.952626,1.142978,0.2110852,3.856752,-2.316507,-4.396749,3.279933,-5.410454,-2.621828,0.5973799,-1.876482,-2.833185
19930412,-14.85533,0.001286564,2.421375,1.952234,1.429184,0.1140702,3.822476,-2.141299,-4.442078,3.272708,-5.650374,-2.66734,0.5685839,-2.055686,-2.874155
19930413,-14.75132,0.06058487,2.517014,1.978885,1.667519,0.03292913,3.795743,-2.00197,-4.423595,3.232786,-5.850308,-2.663241,0.5470971,-2.170672,-2.894414
19930414,-14.69891,0.1643123,2.585893,2.070882,1.848095,-0.04842541,3.774671,-1.901634,-4.335189,3.162253,-5.989819,-2.582259,0.5203769,-2.187203,-2.862051
19930415,-14.68195,0.2912168,2.627575,2.22331,1.936739,-0.08992212,3.746537,-1.764619,-4.228721,3.132456,-6.04726,-2.553457,0.537913,-2.129652,-2.813305
19930416,-14.70168,0.4272682,2.688704,2.35928,2.033354,-0.1609095,3.738546,-1.714198,-4.091202,3.078784,-6.073798,-2.440778,0.5473117,-1.998932,-2.766579
19930417,-14.7555,0.6075422,2.800447,2.489861,2.082229,-0.2551266,3.712315,-1.660409,-3.92293,2.987326,-6.063035,-2.322335,0.5591043,-1.850518,-2.710719
19930418,-14.85852,0.7945476,2.95517,2.631805,2.103509,-0.3398934,3.700897,-1.64026,-3.757516,2.894864,-6.014425,-2.194733,0.5897856,-1.595874,-2.660985
19930419,-15.00897,1.034883,3.107995,2.765229,2.106927,-0.4433397,3.678685,-1.625282,-3.548449,2.812743,-5.926746,-2.058387,0.6400543,-1.298237,-2.58241
19930420,-15.20818,1.296806,3.284682,2.91221,2.097399,-0.5736775,3.665473,-1.624106,-3.330516,2.737052,-5.799529,-1.895794,0.6948687,-0.9770976,-2.477645
